TripID,CustomerName,PickupLocation,DropoffLocation,PickupTime,DropoffTime,Status,Fare,Driver,DistanceMiles,DurationMinutes
e3cbff25-8457-4015-8c31-3cce22ddd005,Customer 797,The Broadmoor,Downtown COS,2025-10-30T06:26:16.859546,2025-10-30T06:39:16.859546,Completed,15.99,Peter Teehan,5.6,13
36b86305-a94c-4b55-ab06-06eb26eadb8a,Customer 213,US Air Force Academy,Garden of the Gods,2025-10-30T11:20:10.859546,2025-10-30T11:54:10.859546,Completed,30.33,Jane Smith,13.8,34
b9c86c1d-f255-468f-9a68-f194442ea4f3,Customer 306,Castle Rock,Manitou Springs,2025-10-30T12:48:24.859546,2025-10-30T14:15:24.859546,Cancelled,115.88,Peter Teehan,79.7,87
7545af5e-cbb6-4f9b-8c81-aab0b7059fab,Customer 510,Denver International Airport,Garden of the Gods,2025-10-30T17:10:42.859546,2025-10-30T18:42:42.859546,Completed,120.8,Auto-Dispatch,83.6,92
7a625221-9dd2-40b6-84a1-1f6cd221d602,Customer 101,Denver International Airport,Downtown COS,2025-10-30T22:09:21.859546,2025-10-30T23:43:21.859546,Completed,124.11,John Doe,86.3,94
330e1087-ce46-49ad-8bcd-68de703d43c2,Customer 827,Manitou Springs,The Broadmoor,2025-10-31T14:54:13.859546,2025-10-31T15:08:13.859546,Cancelled,16.42,Jane Smith,5.8,14
2bdfe60f-e8f7-46b4-924c-99089e0ba44d,Customer 873,Colorado Springs Airport,Garden of the Gods,2025-10-31T17:43:54.859546,2025-10-31T18:00:54.859546,Cancelled,18.78,Jane Smith,7.2,17
2a1d8b88-6601-45ff-8660-3ac91ccec5b1,Customer 798,US Air Force Academy,Garden of the Gods,2025-10-31T21:07:35.859546,2025-10-31T21:49:35.859546,Completed,35.7,Peter Teehan,16.8,42
edb51dde-805b-4265-9c27-0818ac99c01a,Customer 411,Garden of the Gods,US Air Force Academy,2025-11-01T05:55:23.859546,2025-11-01T06:18:23.859546,Cancelled,22.6,Peter Teehan,9.3,23
508dae42-49a1-467c-b4bd-7032602fd1a6,Customer 827,Denver International Airport,Castle Rock,2025-11-01T08:03:24.859546,2025-11-01T09:19:24.859546,Completed,103.66,John Doe,69.9,76
b9e17f72-764a-4b08-8ad7-11e81408b707,Customer 872,Denver International Airport,The Broadmoor,2025-11-01T08:38:08.859546,2025-11-01T10:02:08.859546,Cancelled,111.74,Jane Smith,76.4,84
7ec43583-2d48-4f0b-b3b0-97e86df5c346,Customer 949,Denver International Airport,Colorado Springs Airport,2025-11-01T12:42:08.859546,2025-11-01T13:53:08.859546,Cancelled,97.23,Jane Smith,64.8,71
d23b057e-2eed-4e3a-a3fd-d66561e109f4,Customer 965,Manitou Springs,US Air Force Academy,2025-11-01T16:39:52.859546,2025-11-01T17:13:52.859546,Cancelled,30.27,Peter Teehan,13.7,34
596b29df-5406-4b3e-9883-aaec784a0c1c,Customer 333,Manitou Springs,Denver International Airport,2025-11-01T21:42:00.859546,2025-11-01T22:55:00.859546,Cancelled,100.05,Peter Teehan,67.0,73
68e96393-cd7b-45a3-b76f-302705f74257,Customer 129,Garden of the Gods,Downtown COS,2025-11-02T02:15:03.859546,2025-11-02T02:48:03.859546,No Show,29.57,Auto-Dispatch,13.3,33
559ea6bb-e8bc-4475-888e-93cb9b248b66,Customer 338,The Broadmoor,Denver International Airport,2025-11-02T08:40:16.859546,2025-11-02T09:52:16.859546,Cancelled,99.09,Jane Smith,66.3,72
127cd55c-bbae-49b4-a969-6dbfd9c837de,Customer 924,Denver International Airport,Colorado Springs Airport,2025-11-03T04:27:49.859546,2025-11-03T05:37:49.859546,Cancelled,96.03,Auto-Dispatch,63.8,70
e6b54a05-f64d-4f27-9d4c-24fb9ced48fc,Customer 222,Manitou Springs,Colorado Springs Airport,2025-11-03T07:43:04.859546,2025-11-03T08:10:04.859546,Completed,25.57,Peter Teehan,11.0,27
924d7054-e4a7-4132-8460-748ef19e1a4b,Customer 440,Colorado Springs Airport,US Air Force Academy,2025-11-03T10:12:25.859546,2025-11-03T10:39:25.859546,Completed,25.81,Jane Smith,11.2,27
4017e372-63d9-4581-bb31-8c2b9b50ac02,Customer 709,Manitou Springs,Castle Rock,2025-11-03T16:22:04.859546,2025-11-03T17:41:04.859546,Completed,106.6,Jane Smith,72.3,79
4d0221a7-fc67-4086-b268-01d269cfbe2d,Customer 373,US Air Force Academy,Colorado Springs Airport,2025-11-04T01:25:42.859546,2025-11-04T02:04:42.859546,Cancelled,33.58,Peter Teehan,15.6,39
a8cc9187-0a52-4941-abf4-a66c02642f2c,Customer 413,The Broadmoor,Downtown COS,2025-11-04T06:30:05.859546,2025-11-04T06:40:05.859546,Completed,15.0,Auto-Dispatch,4.1,10
726d0ae1-6b98-4dd3-b612-d74944d5c03a,Customer 613,The Broadmoor,US Air Force Academy,2025-11-04T10:58:10.859546,2025-11-04T11:33:10.859546,Completed,31.17,John Doe,14.2,35
4d364267-06bb-421a-9cde-da4dda9fee5c,Customer 762,US Air Force Academy,Manitou Springs,2025-11-04T18:26:13.859546,2025-11-04T19:03:13.859546,Completed,32.17,Peter Teehan,14.8,37
eadd3d6d-9dfe-408b-a9c5-618c7e9caa82,Customer 992,Denver International Airport,Downtown COS,2025-11-04T20:47:19.859546,2025-11-04T22:04:19.859546,No Show,103.82,Jane Smith,70.1,77
bd94e52e-f161-4f4f-9d6f-83a340f379f6,Customer 855,Manitou Springs,The Broadmoor,2025-11-05T01:14:33.859546,2025-11-05T01:41:33.859546,No Show,25.29,John Doe,10.9,27
7070a523-e2e4-4005-90b3-3fb0052ca06d,Customer 863,US Air Force Academy,Colorado Springs Airport,2025-11-05T07:48:31.859546,2025-11-05T08:33:31.859546,Completed,38.38,John Doe,18.4,45
b0c4649a-0215-40ab-a751-a3fdbf10bf2f,Customer 182,Manitou Springs,Garden of the Gods,2025-11-05T19:45:17.859546,2025-11-05T20:05:17.859546,No Show,20.83,Jane Smith,8.3,20
519c4d4c-01f4-4e40-84f9-c6f123cfd1e2,Customer 200,US Air Force Academy,Manitou Springs,2025-11-05T19:52:17.859546,2025-11-05T20:32:17.859546,Completed,34.68,Jane Smith,16.2,40
6083c1ce-15ef-43b5-977c-166cae378066,Customer 122,Downtown COS,Denver International Airport,2025-11-06T00:42:19.859546,2025-11-06T02:19:19.859546,Completed,127.16,Jane Smith,88.7,97
000fe23e-ea7e-495a-9f53-73029442e120,Customer 784,The Broadmoor,Denver International Airport,2025-11-06T01:20:15.859546,2025-11-06T02:36:15.859546,Completed,103.68,Auto-Dispatch,69.9,76
77125d6c-8588-45ac-816d-9ef82e0be0b7,Customer 137,Colorado Springs Airport,US Air Force Academy,2025-11-06T08:40:07.859546,2025-11-06T08:57:07.859546,Completed,18.49,Auto-Dispatch,7.0,17
694821fd-8d2b-4fb4-b0dc-684924ba993f,Customer 393,Downtown COS,The Broadmoor,2025-11-06T09:50:55.859546,2025-11-06T10:39:55.859546,Completed,40.72,Jane Smith,19.7,49
11ec6a2a-91db-487b-b4e8-0aaa479b1c2f,Customer 334,The Broadmoor,Denver International Airport,2025-11-06T10:15:06.859546,2025-11-06T11:47:06.859546,No Show,121.58,Auto-Dispatch,84.3,92
dbc6d430-8c5c-4c7d-99cd-3c04ff8fd5d4,Customer 535,Colorado Springs Airport,Garden of the Gods,2025-11-06T12:34:37.859546,2025-11-06T12:59:37.859546,Completed,24.42,John Doe,10.4,25
4a04a8a6-cb78-44fb-8b2b-cbe086714e5f,Customer 339,Garden of the Gods,Downtown COS,2025-11-07T03:47:32.859546,2025-11-07T04:32:32.859546,Completed,38.19,Auto-Dispatch,18.3,45
c6e17dd2-1725-407d-a67b-5056b849a8d2,Customer 763,Garden of the Gods,Manitou Springs,2025-11-07T04:38:08.859546,2025-11-07T05:21:08.859546,No Show,36.7,John Doe,17.4,43
ea80d210-db28-48b1-a963-d74bd5a3adda,Customer 951,Denver International Airport,Colorado Springs Airport,2025-11-07T21:42:59.859546,2025-11-07T22:48:59.859546,Completed,92.2,Auto-Dispatch,60.8,66
650d5021-28b0-47fa-95ea-b6981395d5aa,Customer 621,Garden of the Gods,Manitou Springs,2025-11-07T22:50:18.859546,2025-11-07T23:28:18.859546,Cancelled,33.05,Auto-Dispatch,15.3,38
9badea19-3c69-447e-a150-46cdbe7d706f,Customer 915,Garden of the Gods,The Broadmoor,2025-11-08T02:10:54.859546,2025-11-08T02:58:54.859546,Cancelled,40.32,John Doe,19.5,48
1721d71d-5500-43ef-a2f8-be68c182ae97,Customer 532,Denver International Airport,Castle Rock,2025-11-08T03:42:02.859546,2025-11-08T05:06:02.859546,No Show,111.99,Auto-Dispatch,76.6,84
43bebe30-a6f9-40fb-8f23-113c96fccb01,Customer 644,Manitou Springs,Downtown COS,2025-11-08T04:50:40.859546,2025-11-08T04:58:40.859546,Completed,15.0,John Doe,3.3,8
be2b9410-7a71-48a5-b534-43d72f829968,Customer 826,Downtown COS,The Broadmoor,2025-11-08T05:08:43.859546,2025-11-08T05:35:43.859546,Completed,25.49,Peter Teehan,11.0,27
e267c661-c63f-497c-8030-bb47ef0c75af,Customer 980,Manitou Springs,Castle Rock,2025-11-08T16:54:30.859546,2025-11-08T18:26:30.859546,Completed,121.03,Peter Teehan,83.8,92
3166a67e-91ed-468b-a8a9-0a3247ee4487,Customer 905,Downtown COS,Manitou Springs,2025-11-08T18:24:31.859546,2025-11-08T19:04:31.859546,Completed,34.67,John Doe,16.2,40
